QBarcode,Sex,DOBYear,Age,Country,Ethn,Ethn1,Ethn2,Ethn3,Ethn4,Ethn5,EthnO,EthnOth,EthnDK,Race1,Race2,Race3,Race4,Race5,RaceO,RaceDK,RaceOth,Litho1,Educ,Marital,InsTyp1,InsTyp2,InsTyp3,InsTyp4,InsTypNo,InsTypO,InsTypDK,InsurOth,HHInc,NumSuprt,Litho2,Educ2,Multiracial
1726,1,1948,56,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200899,3,6,,,1.0,,,,,,4,1,200899,3,0
1730,1,1923,81,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,205220,1,1,,,,,,88.0,,,6,2,205220,1,0
1732,1,1949,56,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,205038,4,1,,,1.0,,,,,,5,3,205038,3,0
1733,1,1951,54,VENEZUELA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200897,2,1,,,1.0,,,,,,3,5,200897,2,0
1736,1,1931,74,TURKEY,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200827,5,1,,1.0,,,,88.0,77.0,,5,1,200827,3,0
1742,1,1939,65,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,204430,1,1,,1.0,1.0,,,,,,4,1,204430,1,0
1746,1,1935,70,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203097,3,1,,1.0,1.0,,,,,,4,2,203097,3,0
1751,1,1931,73,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203014,5,1,,1.0,,,,,,,5,2,203014,3,0
1756,1,1956,48,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203017,4,1,,,1.0,,,,,,5,4,203017,3,0
1757,1,1930,75,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203018,2,1,,1.0,1.0,,,,,,99,2,203018,2,0
1759,1,1931,74,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203023,5,1,,,1.0,,,,,,4,2,203023,3,0
1761,1,1951,54,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,205025,2,1,,,1.0,,,,,,4,3,205025,2,0
1762,1,1941,63,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200843,5,1,,,1.0,,,,,,5,2,200843,3,0
1769,1,1941,64,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203022,4,1,,,1.0,,,,,,6,999,203022,3,0
1780,1,1947,58,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203094,3,1,,,1.0,,,,,,3,1,203094,3,0
1782,1,1942,63,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203093,3,1,,,1.0,,,,,,4,2,203093,3,0
1785,1,1951,53,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203092,4,1,,,,1.0,,,,,5,4,203092,3,0
1789,1,1937,68,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203032,3,1,,1.0,,,,88.0,,ENCOMPASS 65,3,2,203032,3,0
1790,1,1947,58,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203117,3,1,,,1.0,,,,,,4,4,203117,3,0
1795,1,1950,55,UNITED STATES OF AMERICA,99,99,99,99,99,99,99,,99,1,0,0,0,0,0,0,,201717,3,1,,,1.0,,,,,,5,3,201717,3,0
1807,1,1944,61,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,203106,5,1,,,1.0,,,,,,2,2,203106,3,0
1810,1,1927,78,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200817,3,1,1.0,1.0,1.0,,,,,,2,2,200817,3,0
1816,1,1945,59,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,205255,3,1,,,,,,88.0,,VA,2,2,205255,3,0
1819,1,1940,65,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,205029,3,1,1.0,1.0,1.0,,,,,,2,2,205029,3,0
